TransactionNo,Items,DateTime,Daypart,DayType,SimulatedRating
1,Bread,2016-10-30 09:58:11,Morning,Weekend,3.430712979890311
2,Scandinavian,2016-10-30 10:05:34,Morning,Weekend,1.2018281535648994
2,Scandinavian,2016-10-30 10:05:34,Morning,Weekend,1.2018281535648994
3,Hot chocolate,2016-10-30 10:07:57,Morning,Weekend,1.4307129798903109
3,Jam,2016-10-30 10:07:57,Morning,Weekend,1.1082266910420475
3,Cookies,2016-10-30 10:07:57,Morning,Weekend,1.3941499085923217
4,Muffin,2016-10-30 10:08:41,Morning,Weekend,1.269835466179159
5,Coffee,2016-10-30 10:13:03,Morning,Weekend,5.0
5,Pastry,2016-10-30 10:13:03,Morning,Weekend,1.6252285191956124
5,Bread,2016-10-30 10:13:03,Morning,Weekend,3.430712979890311
6,Medialuna,2016-10-30 10:16:55,Morning,Weekend,1.449725776965265
6,Pastry,2016-10-30 10:16:55,Morning,Weekend,1.6252285191956124
6,Muffin,2016-10-30 10:16:55,Morning,Weekend,1.269835466179159
7,Medialuna,2016-10-30 10:19:12,Morning,Weekend,1.449725776965265
7,Pastry,2016-10-30 10:19:12,Morning,Weekend,1.6252285191956124
7,Coffee,2016-10-30 10:19:12,Morning,Weekend,5.0
7,Tea,2016-10-30 10:19:12,Morning,Weekend,2.0486288848263254
8,Pastry,2016-10-30 10:20:51,Morning,Weekend,1.6252285191956124
8,Bread,2016-10-30 10:20:51,Morning,Weekend,3.430712979890311
9,Bread,2016-10-30 10:21:59,Morning,Weekend,3.430712979890311
9,Muffin,2016-10-30 10:21:59,Morning,Weekend,1.269835466179159
10,Scandinavian,2016-10-30 10:25:58,Morning,Weekend,1.2018281535648994
10,Medialuna,2016-10-30 10:25:58,Morning,Weekend,1.449725776965265
11,Bread,2016-10-30 10:27:21,Morning,Weekend,3.430712979890311
11,Medialuna,2016-10-30 10:27:21,Morning,Weekend,1.449725776965265
11,Bread,2016-10-30 10:27:21,Morning,Weekend,3.430712979890311
12,Jam,2016-10-30 10:30:14,Morning,Weekend,1.1082266910420475
12,Coffee,2016-10-30 10:30:14,Morning,Weekend,5.0
12,Tartine,2016-10-30 10:30:14,Morning,Weekend,1.03363802559415
12,Pastry,2016-10-30 10:30:14,Morning,Weekend,1.6252285191956124
12,Tea,2016-10-30 10:30:14,Morning,Weekend,2.0486288848263254
13,Basket,2016-10-30 10:31:24,Morning,Weekend,1.0036563071297988
13,Bread,2016-10-30 10:31:24,Morning,Weekend,3.430712979890311
13,Coffee,2016-10-30 10:31:24,Morning,Weekend,5.0
14,Bread,2016-10-30 10:32:46,Morning,Weekend,3.430712979890311
14,Medialuna,2016-10-30 10:32:46,Morning,Weekend,1.449725776965265
14,Pastry,2016-10-30 10:32:46,Morning,Weekend,1.6252285191956124
15,Mineral water,2016-10-30 10:34:36,Morning,Weekend,1.0987202925045705
15,Scandinavian,2016-10-30 10:34:36,Morning,Weekend,1.2018281535648994
16,Bread,2016-10-30 10:37:08,Morning,Weekend,3.430712979890311
